"Code","Country","P_falciparum_Malaria_Incidence_Per_10k.sum","Dengue_Incidence_Per_10k.sum","Cutaneous_Leishmaniasis_Incidence_Per_10k.sum","Pasture_Mosaic_Area_ha_delta","Forest_Pasture_Mosaic_delta","area_mn_pasture_mosaic_delta","Agriculture_Area_ha_delta","Forest_Agriculture_delta","area_mn_agriculture_delta"
1500404,"Brazil",437.225777611937,225.278263989687,188.121136409645,-3405.69,-45591,2.11888164812035,134.819999999999,633,-0.38214014638113
1500503,"Brazil",437.839781418499,50.2497031137608,213.395377142464,-8348.58,2117,0.43028901770028,1467.45,12128,0.87276880479926
1500602,"Brazil",170.171039887545,585.799863036934,177.691277468528,548731.89,969582,2.6279123194869,18948.8699999999,9453,4.35553933014437
1500701,"Brazil",17010.0206138929,7.46074230178255,27.4986601529889,855.99,5568,1.15382201086956,3.33,32,3.33
1500800,"Brazil",0.111997016824534,96.1477391585446,7.19628532431924,-18.9000000000099,-1409,1.06904895814125,15.57,-25,0.27681818181818
1500859,"Brazil",783.820163770711,1108.93751731764,1027.32034498737,111288.78,172636,10.1862795515377,10.08,26,1.12
1500909,"Brazil",0.652490223953219,75.6042211129431,40.8831379986125,-5428.62,-20887,-1.43089425244655,185.22,58,2.56008097165992
1500958,"Brazil",162.175417773227,58.332197369219,41.9990790486004,7487.01,13626,3.4432184397396,613.35000000001,-4929,0.41909870691138
1501006,"Brazil",4.92676456763876,8.18327621593905,110.23023160762,32077.08,85880,4.35186517216765,546.84,3889,0.07210055865922
1501105,"Brazil",216.826820609315,59.1396876778884,145.298345164821,3703.40999999999,27583,0.11632075471698,-3.24,67,-0.54
1501204,"Brazil",65.7831392023516,25.2797268153111,70.175837884697,-3245.84999999999,-23291,-0.2107705486978,12.1500000000001,510,-0.57367816916565
1501253,"Brazil",3.11978506516069,1219.07717780127,161.158083757826,10521.72,23877,-5.635501436716,394.29,196,3.10045707472178
1501303,"Brazil",0,86.0360331342367,5.19153593818792,4661.1,22276,2.27842053616454,42.66,-227,0.69727272727273
1501402,"Brazil",0.593991712463262,158.605661472886,1.66465167858175,1230.65999999999,4332,0.60762052016909,151.74,44,2.26990029325513
1501451,"Brazil",3.43855167067963,397.22387474379,174.954418423696,-4181.49,-9009,-1.24653433468144,11736.18,9983,4.9223770437271
1501501,"Brazil",0,198.52128243477,3.69624937745948,1383.02999999998,914,3.8033942307692,131.76,129,2.78836363636364
1501576,"Brazil",31.4463127228872,285.369079843398,65.4476964457215,8320.41,22164,-48.8561671143445,3732.83999999999,94,0.951378640776695
1501600,"Brazil",0.949711473929861,29.2969456644504,22.5862325413145,991.799999999996,4664,-0.1478665710187,243.990000000001,1918,0.19074699866607
1501709,"Brazil",0.593707306363211,111.354246568212,35.4014740463405,-5782.6800000001,-31384,-0.6119121556819,36.09,109,0.0601136363636399
1501725,"Brazil",85.3725914940127,556.912730651709,427.395106262533,17816.94,67802,-23.0856360880971,445.23,1456,0.876096308186196
1501758,"Brazil",20.2608491127114,429.464306210916,70.7655383910661,5928.12,-13873,17.25467534012,1693.98,20,1.05917017164943
1501782,"Brazil",293.959345073585,570.227283428725,138.058586460366,2193.47999999998,31862,-12.6349491953082,3775.41000000001,1110,-0.0128385017266899
1501808,"Brazil",73.0945476178281,42.0213969945091,17.7461569108555,-386.28,-34,-1.12866003618485,26.0999999999999,82,1.45
1501907,"Brazil",0.896666775851398,21.2571160683228,4.32555945058451,8891.82,38366,2.0205923261061,1292.76,2833,9.16467032967031
1501956,"Brazil",777.805538926893,114.084949782932,235.406075992772,37160.0999999999,103436,4.93358191467605,40.86,189,0.726976744186046
1502004,"Brazil",6.28496952005939,0,12.8118026018833,86.7599999999999,854,0.0527635135135149,1.08,0,1.08
1502103,"Brazil",8.3313681400575,118.449910424468,15.9006004133492,-545.670000000002,5902,-0.48987109507982,53.0100000000001,54,0.75162162162162
1502152,"Brazil",1.99963304462008,599.726936109148,76.0142948255709,-12184.56,16300,-40.6026704650011,1522.35,45,2.41945454545455
1502202,"Brazil",0.631431211570468,217.42084377319,17.3492714980765,3759.57,-1070,5.437210824234,275.94,103,-0.06434085399962
1502301,"Brazil",0.652075589607083,103.07241373388,40.9985812600956,-8011.07999999999,30800,-27.4973489297385,-3.05999999999995,-4098,-0.29263165708585
1502400,"Brazil",0.181397160059892,111.923089565161,13.2868659867713,7897.14,-5678,8.6401948694958,743.31,-1011,3.45977623699969
1502509,"Brazil",1058.77637293822,0.954057099756211,0,-294.93,-2026,-0.058627109317682,85.6799999999999,320,2.31567567567568
1502608,"Brazil",46.6943382450839,72.2746037372144,41.5766411837331,810.63,1908,2.38857909247042,20.07,5,2.50875
1502707,"Brazil",0.908544841627605,849.383824380091,33.6507476093764,-9250.65000000002,83155,-13.4592932732234,9403.37999999997,874,0.82702671835765
1502756,"Brazil",1.68228034658532,56.2920257926156,18.309125341297,6354.54,33644,-0.0892536871700997,1482.84,2285,0.55313909774436
1502764,"Brazil",33.4979710537206,1079.46367883424,195.072413986339,90225.449999999,276361,-27.1588553039484,11819.88,1387,12.235751401682
1502772,"Brazil",8.79656212544531,249.047425469819,149.809727218302,-18074.61,32820,-55.6836932502485,2590.82999999999,645,1.44177647106288
1502806,"Brazil",169.561923586189,3.39158603340482,44.0024044499778,185.759999999998,2892,-0.23861835122066,0,0,0
1502855,"Brazil",18.8860037866924,8.15366803662368,130.284423142481,5077.8000000001,14711,3.6140053803339,60.03,214,1.76558823529412
1502905,"Brazil",0,70.2277236602476,4.58753993439966,3266.01,2335,2.93442949779925,106.38,69,4.32586956521739
1502939,"Brazil",0.69616844908122,223.894561513982,169.192927209376,-84377.79,10889,-41.6936342097612,72154.5299999999,21599,18.1228821201329
1502954,"Brazil",7.38135882322339,154.434844787115,72.606757222307,184.140000000014,-4450,-54.569303405572,2383.83,2,0.10770485742016
1503002,"Brazil",280.439106807047,2.02037328575289,92.731772920354,762.75,8171,-1.4586636748902,345.42,962,2.46728571428571
1503044,"Brazil",0,447.241060307338,41.8346629589771,-931.410000000003,19029,-2.6315155797423,5211.90000000001,569,-3.92322488038277
1503077,"Brazil",6.76696616629064,11.4953601785988,89.6186562698082,-13044.9600000001,13688,-23.3691433771846,332.46,220,1.28046167247387
1503093,"Brazil",1440.8570930958,473.862051507466,356.032885810777,23830.47,79931,-33.177503687765,8911.89,204,0.43107966013007
1503101,"Brazil",7.76843433183999,35.1419508914466,12.5673013124619,-4623.12,-2440,-1.57195852197329,51.12,406,2.32363636363636
1503200,"Brazil",0,79.1626867199037,17.9210568740446,7103.61,-8780,13.9394337957124,120.24,-287,0.27142155142156
1503309,"Brazil",0.697382689065328,28.3186220805362,56.8623338569683,887.85000000001,7070,0.20059079361611,-176.49,-1546,0.56432608695652
1503408,"Brazil",0,321.603397493912,52.7760898523222,2556.9,3629,4.40421159291,26.28,-55,1.53494505494506
1503457,"Brazil",972.606514880835,72.8975820879201,115.267607878191,-1199.16,105408,-17.3708476193665,11105.46,-3293,1.52354458505066
1503507,"Brazil",1.01264122580219,117.733174487313,42.3668504325461,10785.87,15465,9.9129147360117,231.660000000001,-163,2.72615125535824
